RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
94476,2241,84116,zip,UT,UT,Salt Lake City,"Salt Lake City, UT",Salt Lake County,,,,,,,,,,,,,,,,,,,,,,889.5483027,898.7610122,914.8007699,932.7946248,935.1624011,940.7909508,954.3259757,968.8894216,976.8428033,972.8423748,968.6896103,954.599964,945.4506207,954.3429705,963.8706663,985.8683504,991.5203421,1029.179519,1035.021194,1045.570144,1037.331323,1040.391582,1046.119555,1041.707494,1040.353857,1037.702285,1044.626358,1051.401237,1056.292763,1068.304245,1086.322296,1102.148218,1101.709703,1100.01717,1099.557466,1095.739557,1080.859155,1069.315865,1078.940546,1099.26843,1098.114525,1090.128858,1069.19562,1082.990872,1079.626087,1081.993882,1081.188905,1080.429055,1096.52932,1085.527034,1094.060866,1090.110389,1122.357549,1153.986389,1198.000533,1224.660182,1261.720616,1301.396694,1333.971039,1351.633808,1343.524266,1344.080388,1346.772153,1382.644241,1420.322655,1457.778219,1463.418745,1469.237629,1466.99883,1464.967461,1460.126479,1469.001428,1455.611111
82763,2242,56301,zip,MN,MN,Saint Cloud,"St. Cloud, MN",Stearns County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.162154,1056.12018,1082.014459,1079.289538,1060.563688,1064.235648,1077.00985,1100.907894,1090.038461,1094.63476,1069.902764,1089.849745,1120.832614,1178.919132,1208.761288,1202.384651,1218.837829,1243.633718,1278.166824,1266.758065,1258.709921,1219.523657,1215.119373,1246.205612,1284.340082,1308.666667
71781,2243,32092,zip,FL,FL,Saint Augustine,"Jacksonville, FL",Saint Johns County,1538.215686,1530.270188,1545.165792,1555.965745,1572.316778,1583.969925,1525.97996,1535.017685,1547.589905,1604.878111,1604.373134,1594.307109,1589.900115,1595.272244,1600.64502,1622.513474,1635.733367,1633.504408,1628.513333,1619.735021,1621.188013,1612.414534,1611.664612,1613.118075,1644.4459,1669.087013,1685.524776,1682.909558,1685.22707,1697.796956,1677.19992,1667.746714,1649.600475,1662.30932,1671.462192,1689.851066,1710.312894,1720.408818,1732.139982,1742.456037,1755.955341,1795.589881,1786.070565,1785.498097,1742.409182,1763.73004,1760.145272,1774.819953,1765.119673,1780.18933,1787.122257,1814.966179,1823.305987,1845.248181,1847.358876,1848.823158,1850.597701,1854.821957,1855.568166,1840.003993,1833.00925,1847.137428,1850.995657,1856.334698,1860.739977,1883.957328,1898.814855,1929.988848,1956.029398,1964.546147,1922.881006,1964.287043,2014.332476,2108.661308,2127.319652,2196.240461,2224.413789,2252.821587,2288.357196,2318.57814,2375.218397,2379.408244,2407.259511,2443.702564,2492.605017,2549.197817,2515.345185,2548.912479,2575.735778,2639.170497,2596.735845,2571.261461,2551.455409,2564.166667
97989,2244,95121,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2636.117208,2730.997068,2806.779541,2983.62873,2995.957642,3119.315372,3037.768948,3183.75
97527,2245,94040,zip,CA,CA,Mountain View,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,,,,,,,,,,,,,,,3449.401521,3439.65712,3540.476804,3482.019156,3483.265189,3345.905901,3303.519307,3317.236873,3386.006514,3410.085544,3410.300373,3441.475265,3489.71226,3533.397468,3494.13746,3472.607304,3438.458823,3417.059741,3391.664286,3387.592687,3395.253735,3440.663349,3504.395528,3605.299978,3659.196726,3666.736518,3652.87478,3664.46535,3656.716968,3621.269968,3560.226788,3531.841671,3570.800375,3645.993489,3681.073492,3701.729133,3699.795469,3746.216003,3752.827132,3743.972813,3718.262871,3682.706051,3630.767013,3573.923151,3597.065509,3682.751197,3770.190039,3777.417462,3736.068346,3702.471997,3608.356389,3479.72127,3341.028397,3217.155825,3131.628056,3059.454832,3045.245758,3029.05132,3094.194209,3151.93495,3274.966356,3334.03405,3450.965633,3525.847438,3564.885721,3515.581326,3459.239436,3433.768578,3482.276096,3574.106524,3638.208159,3663.863291,3700.793072,3765.616808,3846.28494,3825.232312,3784.767957,3753.503974,3702.540394,3704.386728
77965,2246,46112,zip,IN,IN,Brownsburg,"Indianapolis-Carmel-Anderson, IN",Hendricks County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452.825242,1451.700343,1451.093479,1450.802735,1457.873769,1453.346241,1458.632025,1445.851773,1468.999695,1493.846397,1528.340084,1535.709203,1542.605988,1538.203717,1541.344179,1550.757429,1550.916796,1562.037657,1580.038764,1619.775856,1696.404578,1723.233373,1765.351759,1758.065491,1755.575824,1756.509348,1769.816656,1791.356263,1773.168215,1733.438538,1706.653572,1731.296417,1776.402118,1841.846211,1858.802503,1885.354063,1897.327363,1920.4929,1904.888889
70364,2247,29209,zip,SC,SC,Columbia,"Columbia, SC",Richland County,835.4991954,844.5509921,855.4568763,871.8249471,872.2557546,878.9086027,868.1811816,866.5622127,860.5628113,871.3426362,881.1932035,891.5023806,882.7495912,877.6339459,880.98335,891.7138066,891.3272943,883.4884944,890.1891704,896.8651737,906.6704068,899.7220927,904.7845548,906.9650155,917.2454309,914.4232645,911.1583375,907.4705932,889.7157336,904.3753729,904.039222,938.0853485,940.8148926,940.931165,943.2320891,940.3151964,951.5964499,951.3968194,961.7711001,965.4408742,957.9684739,962.8884175,966.3929556,970.2326273,970.8524264,977.9540005,990.5594785,1002.917187,1003.06651,1005.169443,1002.811508,1011.946259,1021.669788,1019.255398,1013.945544,1008.783963,1021.756087,1036.773618,1039.526637,1032.81071,1042.622488,1054.641243,1060.196632,1057.795427,1067.570194,1064.077425,1077.743485,1081.809919,1106.214098,1087.521556,1086.363427,1093.202808,1125.23804,1156.757858,1170.694005,1169.14338,1161.028027,1181.963517,1214.587663,1237.830091,1264.492046,1286.226033,1280.37786,1283.246836,1276.436807,1309.383799,1323.074198,1332.952308,1357.747969,1351.767769,1347.359214,1322.02511,1330.909106,1327.809524
69452,2248,27612,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,1014.538981,1018.989458,1023.533606,1022.088234,1027.188798,1026.958835,1022.178513,1015.740541,1019.758685,1036.672183,1036.629203,1045.462846,1052.437734,1067.124439,1063.916997,1059.343904,1072.153618,1068.777757,1063.762324,,1058.998778,1065.539904,1067.114364,1072.112903,1076.547563,1077.055793,1074.279465,1078.070788,1082.563651,1089.533767,1085.520493,1078.681351,1080.830305,1081.523035,1088.226139,1089.956707,1096.151452,1088.207229,1099.774393,1103.496226,1117.81291,1117.502466,1123.759936,1126.479899,1128.58191,1130.953456,1139.510082,1157.783115,1157.412291,1154.858596,1148.965462,1164.764146,1181.22018,1196.132449,1189.223638,1192.810575,1173.071945,1174.201379,1172.395471,1185.492697,1187.67164,1168.050233,1150.264036,1139.800576,1158.373154,1163.260087,1166.140901,1158.704676,1171.226571,1183.087706,1187.600227,1187.990711,1198.929615,1223.298869,1247.606833,1276.173252,1323.705481,1379.473884,1421.183376,1431.529983,1421.2779,1419.427408,1418.85702,1419.975774,1435.07131,1454.810236,1486.427427,1518.300168,1552.857272,1570.849083,1563.730415,1540.11629,1495.923566,1475.392679
72233,2249,32807,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.529488,1728.257285,1799.195552,1812.586612,1857.687955,1905.95568,1909.529066,1850.191156,1823.566607,1864.769394,1910.801587
80084,2249,50023,zip,IA,IA,Ankeny,"Des Moines-West Des Moines, IA",Polk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.386215,1199.460088,1188.086316,1198.57069,1209.131926,1218.887485,1229.320988,1211.057677,1211.698217,1216.172901,1234.627966,1242.812224,1247.296735,1254.428997,1250.030548,1267.342541,1280.554982,1324.563091,1358.62581,1375.547893,1383.147095,1376.908958,1389.498836,1379.666667
