,zip,effective_rent
360,33625,2015.0
361,33626,2147.5555555555557
362,33629,1620.0
363,33634,1839.125
364,33635,1974.0
365,33637,1697.6923076923076
366,33701,2856.0
367,33702,1593.0
368,33704,1441.0
369,33705,2157.5
370,33707,2242.0
371,33708,2277.5
372,33709,1321.4
373,33710,1588.5
374,33711,1959.0
375,33712,1640.4
376,33713,1907.1
377,33714,1912.0
378,33716,1884.75
379,33755,1522.6
380,33756,1875.5
381,33759,1899.7142857142858
382,33760,1647.1666666666667
383,33761,1807.0
384,33762,1752.5
385,33763,1741.6666666666667
386,33764,1863.5
387,33765,1645.4444444444443
388,33770,1591.8333333333333
389,33771,1587.1818181818182
390,33772,1578.2
391,33773,1948.3333333333333
392,33774,1474.5
393,33778,1983.0
394,33781,1714.25
395,33782,2079.0
396,33801,1342.125
397,33803,1473.6666666666667
398,33805,1406.6666666666667
399,33809,1436.75
400,33810,1429.75
401,33811,1023.5
402,33812,1822.0
403,33813,1663.5
404,33823,2288.0
405,33830,1728.3333333333333
406,33837,2335.0
407,33853,869.5
408,33859,1501.5
409,33860,1758.0
410,33880,1332.6
411,33884,1324.0
412,33896,1886.5625
413,33897,1991.3333333333333
414,33898,837.0
415,33901,1740.5714285714287
416,33903,1368.0
417,33905,2106.0
418,33907,1714.5
419,33908,1899.7777777777778
420,33909,2025.75
421,33912,1787.75
422,33913,2414.0
423,33914,2181.0
424,33916,1929.7777777777778
425,33919,1637.6666666666667
426,33928,2012.6666666666667
427,33954,2051.3333333333335
428,33966,2137.0
429,33967,2253.5
430,33980,3364.0
431,33990,1705.0
432,33991,2063.2
433,34102,1949.0
434,34104,2301.285714285714
435,34105,2603.0
436,34109,1983.0
437,34110,2734.0
438,34112,1919.0
439,34113,2233.4
440,34114,2485.0
441,34116,1803.0
442,34119,2716.3333333333335
443,34120,2776.0
444,34135,2412.75
445,34202,2152.75
446,34203,1846.0
447,34205,1652.5
448,34207,1710.8
449,34208,1878.5833333333333
450,34209,1869.5
451,34210,1815.0
452,34211,2212.7
453,34212,1945.5
454,34219,1042.0
455,34221,1301.0
456,34223,1836.0
457,34231,1887.0
458,34232,1937.625
459,34233,2255.0
460,34234,1577.0
461,34235,2675.0
462,34236,3321.0
463,34237,1723.125
464,34238,2314.75
465,34239,1246.0
466,34240,2812.8333333333335
467,34243,2042.4
468,34275,2191.0
469,34288,1924.25
470,34292,1748.5
471,34293,1766.0
472,34470,1177.0
473,34471,1458.2857142857142
474,34474,1569.5555555555557
475,34475,500.0
476,34484,1632.0
477,34488,1096.0
478,34601,1327.0
479,34606,1108.0
480,34608,1085.0
481,34609,1712.3333333333333
482,34638,1894.75
483,34652,1874.5
484,34653,1144.5
485,34654,1563.0
486,34655,1663.8333333333333
487,34667,1423.5
488,34668,1239.3333333333333
489,34677,1318.5
490,34683,1845.0
491,34684,1838.0
492,34685,1971.75
493,34689,1642.0
494,34691,1479.0
495,34695,1337.0
496,34698,1916.5
497,34711,1835.9
498,34714,1576.5
499,34715,1759.0
500,34741,1696.6
501,34743,1057.0
502,34744,1682.2727272727273
503,34746,2096.0
504,34747,1921.7692307692307
505,34748,1074.0
506,34761,1928.0
507,34769,1833.0
508,34785,1461.3333333333333
509,34786,2254.5714285714284
510,34787,1880.0714285714287
511,34788,1190.5
512,34947,1498.6666666666667
513,34952,1912.2222222222222
514,34953,2033.0
515,34957,2245.0
516,34981,1123.5
517,34986,2316.5
518,34987,2080.75
519,34990,2103.0
520,34994,1842.0
521,34997,1888.6666666666667
